"4750016285651","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","1","1","1","0","0","1","1","0","0",NULL,"47"
"4751017604055","RENTADA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","MOSAICO","RED PUBLICA","SI","0","0","1","0","0","0","1","0","0",NULL,"48"
"4475065950382","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","1","0","2","1","0","1","1","0","0",NULL,"49"
"4275016296587","PROPIA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","1","1","2","0","1","0","1","0","0",NULL,"50"
"4228090790335","PROPIA","MADERA/CARTON","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"51"
"4275016237034","RENTADA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","MOSAICO","RED PUBLICA","SI","1","1","1","1","1","1","1","1","0",NULL,"52"
"4385069769220","RENTADA","CONCRETO","CUARTO VECINDAD","RED PUBLICA","CEMENTO","FOSA SEPTICA","SI","1","1","1","0","1","0","1","0","0",NULL,"53"
"4218017628243","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"54"
"421816232085","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"55"
"4219017515444","PROPIA","MATERIAL/LAMINA","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"56"
"4218016222920","PROPIA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","CEMENTO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"57"
"421916222919","PROPIA","CONCRETO","CASA INDEPENDIENTE","RED PUBLICA","MOSAICO","RED PUBLICA","SI","0","0","0","0","0","0","0","0","0",NULL,"58"
